2024-10-03 10:32:23 - GPU Memory: 21242 MB, CPU Usage: 0.3%, RAM Usage: 25836 MB / 1030999 MB
2024-10-03 10:32:28 - GPU Memory: 21242 MB, CPU Usage: 0.4%, RAM Usage: 25825 MB / 1030999 MB
2024-10-03 10:32:33 - GPU Memory: 21242 MB, CPU Usage: 0.2%, RAM Usage: 25806 MB / 1030999 MB
2024-10-03 10:32:39 - GPU Memory: 21242 MB, CPU Usage: 0.2%, RAM Usage: 25794 MB / 1030999 MB
2024-10-03 10:32:44 - GPU Memory: 21242 MB, CPU Usage: 0.4%, RAM Usage: 25778 MB / 1030999 MB
2024-10-03 10:32:49 - GPU Memory: 21242 MB, CPU Usage: 1.2%, RAM Usage: 25951 MB / 1030999 MB
2024-10-03 10:32:54 - GPU Memory: 21242 MB, CPU Usage: 14.7%, RAM Usage: 26532 MB / 1030999 MB
2024-10-03 10:32:59 - GPU Memory: 21242 MB, CPU Usage: 3.4%, RAM Usage: 26539 MB / 1030999 MB
2024-10-03 10:33:05 - GPU Memory: 21242 MB, CPU Usage: 12.1%, RAM Usage: 26513 MB / 1030999 MB
2024-10-03 10:33:10 - GPU Memory: 21242 MB, CPU Usage: 15.1%, RAM Usage: 26482 MB / 1030999 MB
2024-10-03 10:33:15 - GPU Memory: 21242 MB, CPU Usage: 11.3%, RAM Usage: 26451 MB / 1030999 MB
2024-10-03 10:33:20 - GPU Memory: 21242 MB, CPU Usage: 18.3%, RAM Usage: 27347 MB / 1030999 MB
2024-10-03 10:33:26 - GPU Memory: 21242 MB, CPU Usage: 23.9%, RAM Usage: 28836 MB / 1030999 MB
2024-10-03 10:33:31 - GPU Memory: 21242 MB, CPU Usage: 12.8%, RAM Usage: 29365 MB / 1030999 MB
2024-10-03 10:33:36 - GPU Memory: 21242 MB, CPU Usage: 16.8%, RAM Usage: 29518 MB / 1030999 MB
2024-10-03 10:33:41 - GPU Memory: 21242 MB, CPU Usage: 4%, RAM Usage: 29516 MB / 1030999 MB
2024-10-03 10:33:47 - GPU Memory: 21242 MB, CPU Usage: 2.2%, RAM Usage: 29365 MB / 1030999 MB
2024-10-03 10:33:52 - GPU Memory: 21242 MB, CPU Usage: 13%, RAM Usage: 29466 MB / 1030999 MB
2024-10-03 10:33:57 - GPU Memory: 21242 MB, CPU Usage: 3.2%, RAM Usage: 29298 MB / 1030999 MB
2024-10-03 10:34:02 - GPU Memory: 21242 MB, CPU Usage: 7.4%, RAM Usage: 29396 MB / 1030999 MB
2024-10-03 10:34:08 - GPU Memory: 21242 MB, CPU Usage: 13.2%, RAM Usage: 29347 MB / 1030999 MB
2024-10-03 10:34:13 - GPU Memory: 21242 MB, CPU Usage: 14.1%, RAM Usage: 29085 MB / 1030999 MB
2024-10-03 10:34:18 - GPU Memory: 21242 MB, CPU Usage: 7%, RAM Usage: 29347 MB / 1030999 MB
2024-10-03 10:34:23 - GPU Memory: 21242 MB, CPU Usage: 1.5%, RAM Usage: 29357 MB / 1030999 MB
2024-10-03 10:34:29 - GPU Memory: 21242 MB, CPU Usage: 17.1%, RAM Usage: 29354 MB / 1030999 MB
2024-10-03 10:34:34 - GPU Memory: 21242 MB, CPU Usage: 0.4%, RAM Usage: 29108 MB / 1030999 MB
2024-10-03 10:34:39 - GPU Memory: 21242 MB, CPU Usage: 0.4%, RAM Usage: 29051 MB / 1030999 MB
2024-10-03 10:34:44 - GPU Memory: 21242 MB, CPU Usage: 19.2%, RAM Usage: 29303 MB / 1030999 MB
2024-10-03 10:34:50 - GPU Memory: 21242 MB, CPU Usage: 1.9%, RAM Usage: 29224 MB / 1030999 MB
2024-10-03 10:34:55 - GPU Memory: 21242 MB, CPU Usage: 3.5%, RAM Usage: 29361 MB / 1030999 MB
2024-10-03 10:35:00 - GPU Memory: 21242 MB, CPU Usage: 17.1%, RAM Usage: 29452 MB / 1030999 MB
2024-10-03 10:35:05 - GPU Memory: 21242 MB, CPU Usage: 0.3%, RAM Usage: 29230 MB / 1030999 MB
2024-10-03 10:35:11 - GPU Memory: 21242 MB, CPU Usage: 13.8%, RAM Usage: 29524 MB / 1030999 MB
2024-10-03 10:35:16 - GPU Memory: 21242 MB, CPU Usage: 3.6%, RAM Usage: 29349 MB / 1030999 MB
2024-10-03 10:35:21 - GPU Memory: 21242 MB, CPU Usage: 9%, RAM Usage: 29627 MB / 1030999 MB
2024-10-03 10:35:27 - GPU Memory: 21242 MB, CPU Usage: 8.7%, RAM Usage: 29746 MB / 1030999 MB
2024-10-03 10:35:32 - GPU Memory: 21242 MB, CPU Usage: 19.4%, RAM Usage: 29813 MB / 1030999 MB
2024-10-03 10:35:37 - GPU Memory: 21242 MB, CPU Usage: 20%, RAM Usage: 29639 MB / 1030999 MB
2024-10-03 10:35:42 - GPU Memory: 21242 MB, CPU Usage: 18%, RAM Usage: 29331 MB / 1030999 MB
2024-10-03 10:35:48 - GPU Memory: 21242 MB, CPU Usage: 0.5%, RAM Usage: 29067 MB / 1030999 MB
